CodObr,CodCap,CodPar,NumPar,CanPar
"URBAN11",10,"URB0151",110,5.8000000000000000e+01
"URBAN11",10,"URB152",111,1.4000000000000000e+01
"URBAN11",10,"URB153",112,3.6500000000000000e+02
"URBAN11",10,"UBR144",113,1.8000000000000000e+01
"URBAN11",10,"URB155",114,2.0000000000000000e+00
"URBAN11",10,"URB156",115,8.0000000000000000e+00
"URBAN11",10,"URB1571",116,6.2000000000000000e+01
"URBAN11",10,"URB158",117,7.0000000000000000e+01
"URBAN11",1,"OPRE-002",1,3.0000000000000000e+02
"URBAN11",1,"URB003",2,8.0000000000000000e+01
"URBAN11",2,"URB009",3,1.3438000000000000e+02
"URBAN11",2,"URB010",4,2.5000000000000000e+03
"URBAN11",2,"URB0011",5,2.5000000000000000e+03
"URBAN11",2,"URB012",6,1.0000000000000000e+04
"URBAN11",2,"URB013",7,3.7310000000000002e+01
"URBAN11",2,"URB014",8,6.5000000000000000e+03
"URBAN11",2,"URB015",9,3.6580000000000000e+03
"URBAN11",2,"URBO16",10,6.1000000000000000e+03
"URBAN11",3,"URB017",11,2.1600000000000000e+03
"URBAN11",4,"URB018",12,1.0000000000000000e+03
"URBAN11",4,"URB019",13,3.3820000000000000e+01
"URBAN11",4,"URB020",14,2.2700000000000000e+00
"URBAN11",4,"URB021",15,3.7310000000000002e+01
"URBAN11",4,"URB022",16,6.9404999999999995e+02
"URBAN11",4,"URB023",17,5.6175999999999999e+02
"URBAN11",4,"URB024",18,2.0800000000000001e+00
"URBAN11",4,"*CONC005",19,1.0220000000000001e+01
"URBAN11",4,"URB026",20,5.8796000000000004e+02
"URBAN11",4,"URBO27",21,4.1299999999999997e+01
"URBAN11",4,"URB028",22,9.2300000000000004e+00
"URBAN11",4,"URB029",23,2.9984000000000000e+04
"URBAN11",4,"URB030",24,3.6132000000000000e+04
"URBAN11",4,"URB031",25,9.4460000000000000e+03
"URBAN11",4,"URB032",26,6.0620000000000000e+03
"URBAN11",4,"URB033",27,2.7210000000000000e+03
"URBAN11",4,"URB034",28,6.9300000000000000e+02
"URBAN11",4,"URB035",29,9.3210000000000000e+03
"URBAN11",4,"URB037",30,6.3800000000000000e+02
"URBAN11",4,"URB038",31,6.3800000000000000e+02
"URBAN11",4,"URB039",32,6.3800000000000000e+02
"URBAN11",5,"URB062",33,3.0000000000000000e+01
"URBAN11",5,"URB064",34,5.0400000000000000e+00
"URBAN11",5,"URB065",35,5.0400000000000000e+00
"URBAN11",5,"URB066",36,1.0080000000000000e+01
"URBAN11",5,"URB067",37,4.0000000000000000e+00
"URBAN11",5,"URB068",38,4.0000000000000000e+00
"URBAN11",5,"URB069",39,2.5239999999999998e+01
"URBAN11",5,"URB070",40,2.0000000000000000e+00
"URBAN11",6,"SOBREPIS",41,1.8000000000000000e+03
"URBAN11",6,"URB071",42,3.6000000000000000e+03
"URBAN11",6,"URB072",43,3.6000000000000000e+03
"URBAN11",6,"URB073",44,5.6085000000000002e+02
"URBAN11",6,"URB074",45,3.4506000000000000e+02
"URBAN11",6,"URB075",46,3.4508999999999997e+02
"URBAN11",6,"URB078",47,9.0509000000000003e+02
"URBAN11",6,"URB079",48,3.4508999999999997e+02
"URBAN11",6,"URB080",49,1.0080000000000000e+01
"URBAN11",6,"URB081",50,1.0080000000000000e+01
"URBAN11",6,"URB082",51,9.2400000000000002e+00
"URBAN11",6,"URB083",52,3.0000000000000000e+01
"URBAN11",6,"URB084",53,2.5239999999999998e+01
"URBAN11",6,"URB085",54,2.0000000000000000e+00
"URBAN11",6,"URB087",55,9.0620000000000005e+01
"URBAN11",6,"URB088",57,1.5469000000000000e+02
"URBAN11",7,"*TUBER01",58,2.0500000000000000e+02
"URBAN11",7,"URB089",59,5.7000000000000000e+02
"URBAN11",7,"URB090",60,6.0000000000000000e+01
"URBAN11",7,"URB091",61,8.8000000000000000e+02
"URBAN11",7,"TUBPAV5",62,2.0000000000000000e+01
"URBAN11",7,"URB092",63,5.9000000000000000e+02
"URBAN11",7,"URB093",64,2.0000000000000000e+03
"URBAN11",7,"URB095",65,9.6000000000000000e+01
"URBAN11",7,"URB098",66,1.5000000000000000e+02
"URBAN11",7,"URB099",67,7.5000000000000000e+02
"URBAN11",7,"URB100",68,9.6000000000000000e+01
"URBAN11",7,"URB102",69,6.0000000000000000e+00
"URBAN11",7,"URB104",70,1.0000000000000000e+00
"URBAN11",7,"URB109",71,3.4000000000000000e+01
"URBAN11",7,"URB111",72,2.0000000000000000e+00
"URBAN11",7,"URB112",73,2.0000000000000000e+00
"URBAN11",7,"TRANSF",74,1.0000000000000000e+00
"URBAN11",7,"URB114",75,8.0000000000000000e+01
"URBAN11",7,"URB115",76,6.0000000000000000e+01
"URBAN11",7,"URB116",77,3.0000000000000000e+00
"URBAN11",7,"URB117",78,1.0000000000000000e+00
"URBAN11",7,"*TUBEMT5",79,3.0000000000000000e+01
"URBAN11",8,"UBR120",80,7.5000000000000000e+01
"URBAN11",8,"URB093",81,3.8000000000000000e+02
"URBAN11",8,"URB101",82,2.0000000000000000e+02
"URBAN11",8,"URB123",83,5.8000000000000000e+01
"URBAN11",8,"URB124",84,2.1000000000000000e+01
"URBAN11",8,"URB125",85,1.0000000000000000e+00
"URBAN11",8,"URB126",86,1.0000000000000000e+00
"URBAN11",8,"URB127",87,1.0000000000000000e+00
"URBAN11",8,"URB128",88,1.0000000000000000e+00
"URBAN11",8,"URB129",89,4.0000000000000000e+01
"URBAN11",8,"URB130",90,1.3000000000000000e+01
"URBAN11",8,"URB131",91,8.0000000000000000e+00
"URBAN11",8,"URB134",92,1.0000000000000000e+00
"URBAN11",8,"URB133",93,1.0000000000000000e+00
"URBAN11",9,"URB134",94,1.0000000000000000e+00
"URBAN11",9,"URB135",95,1.8000000000000000e+01
"URBAN11",9,"URB136",96,1.0000000000000000e+00
"URBAN11",9,"UBR137",97,1.0000000000000000e+00
"URBAN11",10,"URB139",98,4.0000000000000000e+02
"URBAN11",10,"URB140",99,2.0000000000000000e+01
"URBAN11",10,"URB141",100,8.0000000000000000e+00
"URBAN11",10,"URB142",101,2.6000000000000000e+02
"URBAN11",10,"URB143",102,4.0000000000000000e+00
"URBAN11",10,"CODO63",103,2.6000000000000000e+01
"URBAN11",10,"URB145",104,2.0000000000000000e+00
"URBAN11",10,"URB146",105,2.0000000000000000e+01
"URBAN11",10,"URB147",106,4.0000000000000000e+00
"URBAN11",10,"URB148",107,3.9000000000000000e+02
"URBAN11",10,"URB149",108,2.0000000000000000e+01
"URBAN11",10,"URB150",109,4.0000000000000000e+00
